"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2026","294.93","292.28","297.62","291.28","3.03M","0.18%"
"03/18/2026","294.39","299.15","301.07","293.36","3.30M","-1.96%"
"03/17/2026","300.27","303.86","306.29","299.84","3.62M","0.69%"
"03/16/2026","298.20","301.01","304.03","295.83","3.60M","-0.59%"
"03/13/2026","299.96","304.32","305.71","299.84","2.65M","-0.64%"
"03/12/2026","301.89","300.54","304.84","298.73","3.60M","-1.34%"
"03/11/2026","305.99","302.47","306.85","300.85","3.52M","0.94%"
"03/10/2026","303.15","305.95","308.25","301.02","3.49M","-0.73%"
"03/09/2026","305.38","294.53","306.30","292.43","4.69M","1.46%"
"03/06/2026","301.00","300.68","303.00","294.51","5.50M","-2.02%"
"03/05/2026","307.21","306.86","309.50","304.80","4.60M","-1.29%"
"03/04/2026","311.21","309.11","312.46","307.00","4.06M","1.10%"
"03/03/2026","307.82","300.11","309.41","299.75","5.67M","0.13%"
"03/02/2026","307.43","303.20","310.42","301.28","6.28M","-0.48%"
"02/27/2026","308.90","320.89","321.51","307.65","9.82M","-7.88%"
"02/26/2026","335.32","329.84","336.62","329.75","3.22M","2.52%"
"02/25/2026","327.09","323.46","329.13","322.32","3.84M","2.06%"
"02/24/2026","320.48","320.49","323.58","316.07","7.93M","-0.24%"
"02/23/2026","321.24","343.35","345.83","317.15","7.09M","-7.20%"
"02/20/2026","346.18","341.55","346.28","338.50","2.74M","1.03%"
"02/19/2026","342.65","343.75","344.62","338.29","2.79M","-1.04%"
"02/18/2026","346.24","346.09","348.05","345.00","1.90M","0.50%"
"02/17/2026","344.53","338.73","346.63","338.00","3.19M","2.08%"
"02/13/2026","337.50","342.60","344.87","336.21","3.81M","-1.57%"
"02/12/2026","342.88","356.50","359.06","340.38","4.14M","-3.14%"
"02/11/2026","354.01","367.56","369.50","353.95","3.44M","-2.53%"
"02/10/2026","363.20","359.62","369.50","359.33","3.51M","0.98%"
"02/09/2026","359.66","359.00","361.73","355.68","2.22M","0.14%"
"02/06/2026","359.15","358.20","361.39","354.69","3.30M","1.28%"
"02/05/2026","354.62","350.55","357.32","348.35","4.07M","0.27%"
"02/04/2026","353.67","349.63","357.33","347.54","3.24M","1.16%"
"02/03/2026","349.63","353.93","358.37","346.90","2.85M","-0.91%"
"02/02/2026","352.83","350.35","355.30","347.01","2.60M","0.19%"
"01/30/2026","352.17","355.00","356.01","344.50","5.38M","-1.77%"
"01/29/2026","358.50","360.27","362.29","355.65","4.22M","0.42%"
"01/28/2026","356.99","359.24","361.57","356.55","2.39M","-0.68%"
"01/27/2026","359.45","363.26","363.42","355.77","1.92M","-1.05%"
"01/26/2026","363.25","362.19","364.87","360.66","2.13M","0.43%"
"01/23/2026","361.69","362.73","363.75","358.24","2.80M","-1.72%"
"01/22/2026","368.02","362.73","370.10","362.73","2.63M","2.34%"
"01/21/2026","359.61","352.30","362.63","352.27","2.78M","2.11%"
"01/20/2026","352.19","356.00","361.16","351.35","3.05M","-3.45%"
"01/16/2026","364.79","361.15","369.40","359.89","3.56M","2.08%"
"01/15/2026","357.37","358.37","361.10","355.73","2.87M","-0.25%"
"01/14/2026","358.26","356.44","358.39","350.72","3.58M","0.07%"
"01/13/2026","358.00","359.60","360.29","355.95","3.77M","-0.44%"
"01/12/2026","359.59","360.50","362.04","355.51","7.02M","-4.27%"
"01/09/2026","375.61","383.00","384.89","373.83","2.77M","-1.92%"
"01/08/2026","382.98","378.17","385.13","376.51","2.71M","1.26%"
"01/07/2026","378.22","383.90","384.99","376.52","2.18M","-1.39%"
"01/06/2026","383.56","380.37","386.26","376.20","2.54M","0.99%"
"01/05/2026","379.80","372.30","383.70","372.25","2.36M","1.90%"
"01/02/2026","372.73","369.50","372.87","367.25","2.08M","0.75%"
"12/31/2025","369.95","373.27","374.37","369.87","1.47M","-0.92%"
"12/30/2025","373.39","375.03","375.43","372.95","1.32M","-0.51%"
"12/29/2025","375.32","381.00","381.39","374.97","1.74M","-1.50%"
"12/26/2025","381.05","382.33","382.67","380.27","1.11M","-0.54%"
"12/24/2025","383.11","382.19","384.73","380.73","817.06K","0.24%"
"12/23/2025","382.19","380.75","384.55","380.10","1.77M","0.35%"
"12/22/2025","380.85","378.33","382.42","377.08","2.75M","1.15%"
"12/19/2025","376.51","375.54","377.55","372.77","7.93M","0.26%"
"12/18/2025","375.52","380.00","380.54","373.85","2.88M","-0.02%"
"12/17/2025","375.61","381.55","384.34","374.55","2.97M","-1.35%"
"12/16/2025","380.75","384.00","384.78","378.82","2.58M","-0.48%"
"12/15/2025","382.57","384.40","385.75","379.86","2.73M","0.00%"
"12/12/2025","382.56","386.49","387.49","378.60","2.48M","-0.61%"
"12/11/2025","384.89","376.50","385.92","375.60","2.98M","2.48%"
"12/10/2025","375.57","363.00","377.98","363.00","2.80M","3.20%"
"12/09/2025","363.91","363.03","368.07","362.50","2.20M","0.45%"
"12/08/2025","362.28","369.91","370.00","360.70","2.58M","-2.18%"
"12/05/2025","370.35","369.45","374.88","369.06","1.98M","-0.22%"
"12/04/2025","371.15","368.99","373.06","368.13","2.03M","0.82%"
"12/03/2025","368.13","361.02","370.20","360.80","2.65M","2.06%"
"12/02/2025","360.70","362.08","363.66","357.35","2.14M","0.11%"
"12/01/2025","360.31","363.86","366.53","360.14","2.23M","-1.36%"
"11/28/2025","365.27","365.69","367.52","364.01","872.29K","0.36%"
"11/26/2025","363.97","362.71","366.73","362.71","1.68M","0.37%"
"11/25/2025","362.64","357.05","363.79","355.31","2.06M","1.89%"
"11/24/2025","355.93","353.62","356.39","350.18","3.33M","0.86%"
"11/21/2025","352.89","345.60","356.31","344.30","3.04M","2.64%"
"11/20/2025","343.80","349.97","353.13","340.32","3.10M","-0.24%"
